Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ManageOperation,Firefox 62.0,,2018-10-28 19:17:37,2018-10-28 19:18:47,1m - 10.436s,INCOMPLETE
,,,,,,
Test Cases/Common/NavigateToUrl,Firefox 62.0,,2018-10-28 19:17:38,2018-10-28 19:17:55,17.353s,PASSED
openBrowser,Firefox 62.0,,2018-10-28 19:17:38,2018-10-28 19:17:46,7.730s,PASSED
openBrowser,Firefox 62.0,,2018-10-28 19:17:46,2018-10-28 19:17:52,5.915s,PASSED
navigateToUrl,Firefox 62.0,,2018-10-28 19:17:52,2018-10-28 19:17:55,2.915s,PASSED
,,,,,,
Test Cases/Common/Login,Firefox 62.0,,2018-10-28 19:17:55,2018-10-28 19:17:57,2.189s,PASSED
phpTravels.Common.Login,Firefox 62.0,,2018-10-28 19:17:55,2018-10-28 19:17:57,1.661s,PASSED
,,,,,,
Test Cases/User/AddAdmin,Firefox 62.0,,2018-10-28 19:17:57,2018-10-28 19:18:43,45.764s,FAILED
phpTravels.Admin.NavigateToAdminPage,Firefox 62.0,,2018-10-28 19:17:58,2018-10-28 19:18:09,11.237s,PASSED
phpTravels.Admin.SetAdminDetails,Firefox 62.0,,2018-10-28 19:18:09,2018-10-28 19:18:14,5.335s,PASSED
phpTravels.Admin.ManageAccessDetails,Firefox 62.0,,2018-10-28 19:18:14,2018-10-28 19:18:19,4.277s,PASSED
phpTravels.Admin.SaveDetails,Firefox 62.0,,2018-10-28 19:18:19,2018-10-28 19:18:43,24.375s,FAILED
,,,,,,
Test Cases/Common/LogOut,Firefox 62.0,,2018-10-28 19:18:43,2018-10-28 19:18:44,0.670s,FAILED
click,Firefox 62.0,,2018-10-28 19:18:43,2018-10-28 19:18:44,0.345s,FAILED
,,,,,,
Test Cases/Common/LoginFromDatabase,Firefox 62.0,,2018-10-28 19:18:44,2018-10-28 19:18:44,0.546s,FAILED
Statement - dbdata = com.kms.katalon.core.testdata.TestDataFactory.findTestData(userDetail),Firefox 62.0,,2018-10-28 19:18:44,2018-10-28 19:18:44,0.091s,PASSED
"Statement - userName = dbdata.getValue(Email.ordinal(), userIndex)",Firefox 62.0,,2018-10-28 19:18:44,2018-10-28 19:18:44,0.001s,PASSED
"Statement - password = dbdata.getValue(Password.ordinal(), userIndex)",Firefox 62.0,,2018-10-28 19:18:44,2018-10-28 19:18:44,0.000s,PASSED
phpTravels.Common.Login,Firefox 62.0,,2018-10-28 19:18:44,2018-10-28 19:18:44,0.030s,FAILED
,,,,,,
Test Cases/Tour/BookTour,Firefox 62.0,,2018-10-28 19:18:44,2018-10-28 19:18:45,0.462s,FAILED
phpTravels.Tour.NavigateToTourPage,Firefox 62.0,,2018-10-28 19:18:44,2018-10-28 19:18:45,0.093s,FAILED
,,,,,,
Test Cases/User/AddSupplier,Firefox 62.0,,2018-10-28 19:18:45,2018-10-28 19:18:46,1.792s,FAILED
click,Firefox 62.0,,2018-10-28 19:18:46,2018-10-28 19:18:46,0.084s,FAILED
,,,,,,
Test Cases/Common/LogOutNewAdmin,Firefox 62.0,,2018-10-28 19:18:46,2018-10-28 19:18:47,0.626s,FAILED
click,Firefox 62.0,,2018-10-28 19:18:47,2018-10-28 19:18:47,0.140s,FAILED
